"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","계",5685932,5940442,6206625,6470497,6737832,7005007,7300852,7598734,7900077,8205097,8516450,8795571,9058650,9317088,9558806,9725447,9815245,9931649,10147107,10379344,10473252,10461122,10445852,10420119,10385314,10342224,10195359,10115549,10051237,10035810,10078434,10091137,10049183,10041419,10051611,10028631,10057373,10068563,10111880,10138867,10088611,10072235,10036273,9990010,9975163,9941162,9842501,9766399,9697449,9657296,9617795,9507905,9421415,9400365,9393699
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","0 - 4세",719707,762310,803686,839779,871687,876337,867290,856794,852738,854069,873485,893992,911335,921394,905439,870083,834322,796728,778972,781262,766688,757358,757060,758001,756470,750293,727745,701033,670936,641281,612869,588684,549504,516898,497161,467495,438940,426503,426179,420382,411483,414572,414730,407801,403095,399954,385474,364416,337490,315996,289085,258701,237243,218633,202023
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","5 - 9세",649997,660718,676520,695785,723721,760180,805807,854477,893868,922252,932580,917596,898315,885788,882695,883756,895959,914224,932714,926121,885339,821917,758643,706278,669803,646976,631173,631428,636820,643728,647952,642981,626250,604281,582567,563047,544079,515104,486013,465478,434362,404224,391008,387065,377276,372352,372572,366297,355349,348407,346887,334940,317272,298048,282354
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","10 - 14세",691575,715415,742487,755619,756381,753535,766154,779161,795057,823664,862329,907348,951933,986429,1010246,1014657,987300,959793,942785,939812,936266,933242,931370,918255,884557,832689,771224,706970,657394,624226,608748,606688,611439,620572,630645,633761,629176,613077,593898,575019,556778,535554,504620,472430,447516,416545,386116,371404,365684,355343,352626,352382,348165,340540,335814
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","15 - 19세",716526,769865,821829,876895,927047,965020,993462,1015147,1028830,1025760,1010907,1000442,993657,999079,1019294,1042579,1060073,1079568,1101388,1109873,1085414,1041823,994923,951884,921909,909064,897384,895528,885351,859496,817882,770867,717671,670854,635867,612695,612547,625210,636680,644728,642142,637345,623504,604019,581580,559250,537558,508748,476258,453264,424664,390114,377669,374053,365130
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","20 - 24세",615513,633883,655779,668514,691322,739152,815114,879663,943359,1006089,1059551,1110121,1142649,1153161,1145587,1124836,1109211,1095156,1094202,1110812,1140444,1163864,1183764,1190233,1178462,1150521,1091198,1033503,988323,961526,960812,962429,970594,975143,952901,909200,843362,780142,738316,718344,706003,690859,691598,696831,705045,711272,711995,702669,692674,684592,669977,645731,616641,599242,585574
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","25 - 29세",571669,569325,579145,603140,630250,656891,678273,700824,728131,770049,832309,897879,954456,1014101,1070560,1114884,1131570,1144621,1160801,1162387,1145324,1128372,1115210,1110728,1118228,1133341,1131417,1146071,1148723,1146176,1137544,1092802,1040215,1014103,1000782,1000778,1017646,1032186,1032510,1010456,960593,913780,857004,810439,783242,770396,757770,769760,792153,813383,829972,835559,824404,825754,818006
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","30 - 34세",478378,501419,526260,540715,552788,561309,569515,590283,620435,654112,684701,702724,723305,747895,783639,815102,871930,910999,969421,1024455,1054107,1063804,1062538,1047119,1018169,981814,957909,939710,924549,929012,948248,982321,1008809,1028823,1033788,1012567,986579,953839,925033,906813,900540,917547,934605,935801,920980,873351,822497,777514,744258,730235,736333,733621,747347,777149,797306
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","35 - 39세",349539,377502,406418,436261,462679,486750,515675,545500,569868,587418,602037,605726,618597,642638,673058,699325,694844,711717,727750,757320,812623,848921,877282,903793,924098,930381,923116,920368,907318,882250,857862,854764,846026,836333,848267,862128,898132,926025,944945,942315,918818,881100,842512,807922,786305,789666,796262,806217,804880,790712,757489,719537,681638,659004,652930
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","40 - 44세",253788,269528,286763,306749,329338,357219,389843,421390,452740,482845,509922,540681,571432,594567,611091,623967,623370,631513,654846,686715,703930,706215,705676,705430,717013,746151,771908,791061,818241,849967,867078,878977,883306,879624,859833,836151,820647,816484,813377,835435,845050,866475,882452,888922,877050,853594,808536,767808,732462,705938,706362,711488,720116,722138,716786
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","45 - 49세",202457,210954,217879,227107,239951,254641,270318,289161,309931,332736,360290,393155,422771,452801,482364,507518,529639,553168,576238,592620,590309,583435,585871,598877,617130,633154,629823,633605,634890,648627,688853,727644,753733,787866,824209,839926,863199,869306,881575,867147,847804,821501,809699,790592,811903,820020,833951,844652,847535,827992,799497,754184,716246,684387,664529
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","50 - 54세",148303,156376,165753,178661,191386,202409,210805,218755,226913,236936,248704,263606,281581,301426,323934,346082,370163,395315,424364,453661,468192,486796,505611,517095,521072,523113,511985,514749,529173,551911,577174,580346,586035,591472,606570,646622,700369,732291,775177,813772,832197,854854,852342,852415,836495,816159,781411,767239,749911,767845,769128,781318,792047,794228,780011
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","55 - 59세",112845,120122,123469,127439,133556,141886,150304,160420,172852,185055,194704,200071,205350,212121,221282,231070,241020,254867,273540,293975,310485,332492,352896,372860,391131,406331,417216,434336,446110,453278,463292,463036,469830,484325,505715,522892,534472,547245,563804,581354,619392,668092,696292,728173,761331,777856,798819,792210,794887,775286,752408,719176,708769,692659,712446
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","60 - 64세",80097,86327,90069,94507,97890,102877,110469,117390,122922,128516,135144,141100,148301,157267,166445,173210,177498,181753,188623,197484,206019,214711,225572,237146,249763,264656,284276,301175,318202,335293,351450,368063,385014,398802,406581,415469,419885,432853,448860,469129,485572,499191,507835,517593,534498,571912,610422,635357,662072,690807,706615,727493,722763,727214,711864
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","65 - 69세",46610,52909,53850,58687,65529,71766,76735,82211,87589,92222,97552,101664,105835,109719,113972,118481,122606,128461,137060,147304,153157,155324,157667,161044,166151,172477,178930,188442,198710,210550,226249,244596,258908,273517,288542,302257,318349,339759,359506,368886,377060,377561,389669,402535,421742,440944,451101,455170,462000,475423,509622,545593,569622,598063,628021
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","70 - 74세",28454,31224,32764,34572,35787,40753,43606,46859,51430,57166,62295,66337,70835,75061,79274,83605,85243,88284,92436,96583,101344,103741,107763,113437,119168,123286,124421,126766,130098,135479,142029,148863,156680,165409,174156,187404,202171,217182,230985,247069,259339,275438,299628,322483,332086,341867,336058,345905,354357,369548,386879,398349,404303,413958,428689
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","75 - 79세",12736,14334,15077,16392,17927,20986,23264,25287,26603,27809,29949,32108,35758,39328,43368,47631,49609,52057,55405,58929,66435,69061,70949,71746,72714,75053,77304,79966,83683,88541,93140,96147,98859,101599,106239,112352,118194,125641,132887,141360,152003,166001,180237,194422,211182,225428,237329,258466,276697,282988,290507,288084,298165,309321,325204
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","80세이상",7738,8231,8877,9675,10593,13296,14218,15412,16811,18399,19991,21021,22540,24313,26558,28661,30888,33425,36562,40031,47176,50046,53057,56193,59476,62924,68330,70838,72716,74469,77252,81929,86310,91798,97788,103887,109626,115716,122135,131180,139475,148141,158538,170567,183837,200596,214630,232567,248782,269537,289744,311635,339005,365974,387012
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","80 - 84세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49608,52000,54230,57901,61965,65657,67903,70825,73504,78710,83736,88940,95306,102401,109398,120260,130880,142237,152782,165640,176179,187183,204910,221134,228058
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","85 - 89세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20482,22254,24036,25421,26622,28056,30420,32461,35327,38230,40106,41831,44240,46752,51571,56332,58956,63429,67008,71856,79030,87395,94854,102723,112695
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","90 - 94세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5927,6247,6560,6888,7496,8292,9273,10229,10963,11611,12580,13940,15225,17430,18655,19448,19884,21352,22651,25246,27513,29622,31397,33576,36618
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","95 - 99세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1096,1265,1303,1392,1486,1623,1744,1887,2001,2259,2649,3016,3329,3535,3725,4008,4315,4891,5668,6012,6171,6472,6803,7352,8436
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","100세 이상",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,139,163,181,196,219,259,286,314,340,370,404,414,438,449,488,548,595,658,673,783,851,963,1041,1189,1205
